"LocationID";"ParentCorpID";"LocationName";"lon";"lat";"location";"df_tx90p";"df_pdsisc";"df_coastalflood";"df_carbonprice";"df_zindex";"df_tbd3";"notes"
1;1;"Boise";-116.149136;43.529396;"Boise_Idaho";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
2;1;"Manassas";-77.503845;38.750829;"Manassas_Virginia";"tx90p-2";"pdsisc-3";"coastalflood-2";"carbonprice-1";"zindex-3";"-";"-"
3;1;"Singapore_Hqs";103.864621;1.31839;"Singapore";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
4;1;"Singapore_300mm_DRAM";103.767569;1.432186;"Singapore";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
5;1;"Singapore_300mm_NAND";103.793645;1.454831;"Singapore";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
6;1;"Singapore_200mm_NOR";103.866405;1.37479;"Singapore";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
7;1;"Catania";14.99;37.421801;"Catania_Italy";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"XXX_original_lon=15.056097_moved_west_4landpoint"
8;1;"Bangalore";77.623906;12.982352;"Bangalore_India";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
9;2;"American_Falls";-112.8764;42.7778;"American_Falls_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
10;2;"Bliss";-115.070986;42.913786;"Bliss_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
11;2;"Brownlee";-116.8975;44.8367;"Cambridge_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
12;2;"C_J_Strike";-115.977858;42.944869;"Bruneau_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
13;2;"Cascade_Dam";-116.0483;44.5256;"Cascade_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
14;2;"Clear_Lake";-114.78012;42.66701;"Buhl_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
15;2;"Lower_Malad";-114.906172;42.865783;"Hagerman_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
16;2;"Lower_Salmon";-114.903611;42.841608;"Hagerman_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
17;2;"Salmon_Diesel";-113.885307;45.183368;"Salmon_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
18;2;"Shoshone_Falls";-114.4033;42.5975;"Twin_Falls_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
19;2;"Swan_Falls";-116.3791;43.2435;"Kuna_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
20;2;"Thousand_Springs";-114.836722;42.740542;"Wendell_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
21;2;"Twin_Falls_(ID)";-114.3553;42.5892;"Kimberly_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
22;2;"Upper_Salmon_A";-114.924692;42.767422;"Hagerman_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
23;2;"Upper_Malad";-114.885542;42.864267;"Hagerman_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
24;2;"Hells_Canyon";-116.7008;45.2439;"Oxbow_OR";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
25;2;"Oxbow_(OR)";-116.835042;44.971643;"Oxbow_OR";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
26;2;"Upper_Salmon_B";-114.908236;42.766397;"Hagerman_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
27;2;"Milner_Hydro";-114.036889;42.526786;"Murtaugh_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
28;2;"Evander_Andrews_Power_Complex";-115.734315;43.179176;"Mountain_Home_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
29;2;"Bennett_Mountain";-115.666637;43.147153;"Mountain_Home_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
30;2;"Langley_Gulch_Power_Plant";-116.819722;43.904444;"New_Plymouth_ID";"tx90p-1";"pdsisc-1";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
31;3;"Boise";-116.3253437;43.658527;"Boise_Idaho";"tx90p-1";"pdsisc-3";"coastalflood-1";"carbonprice-1";"zindex-3";"-";"-"
